Electoral wards and divisions Code,Electoral wards and divisions,Household deprived in the education dimension (3 categories) Code,Attribute,Value
E05014107,Myatt's Fields,Not Deprived,Employment,3753
E05014107,Myatt's Fields,Not Deprived,Health,3274
E05014107,Myatt's Fields,Not Deprived,Housing,3619
E05014107,Myatt's Fields,Deprived,Education,833
E05014107,Myatt's Fields,Deprived,Employment,874
E05014107,Myatt's Fields,Deprived,Health,1353
E05014107,Myatt's Fields,Deprived,Housing,1008
E05014108,Oval,Does not apply,Education,0
E05014108,Oval,Does not apply,Employment,1
E05014108,Oval,Does not apply,Health,0
E05014108,Oval,Does not apply,Housing,0
E05014108,Oval,Not Deprived,Education,4647
E05014108,Oval,Not Deprived,Employment,4728
E05014108,Oval,Not Deprived,Health,4153
E05014108,Oval,Not Deprived,Housing,4225
E05014108,Oval,Deprived,Education,882
E05014108,Oval,Deprived,Employment,800
E05014108,Oval,Deprived,Health,1376
E05014108,Oval,Deprived,Housing,1304
E05014109,St Martin's,Does not apply,Education,0
E05014109,St Martin's,Does not apply,Employment,0
E05014109,St Martin's,Does not apply,Health,0
E05014109,St Martin's,Does not apply,Housing,0
E05014109,St Martin's,Not Deprived,Education,3819
E05014109,St Martin's,Not Deprived,Employment,3831
E05014109,St Martin's,Not Deprived,Health,3343
E05014109,St Martin's,Not Deprived,Housing,3581
E05014109,St Martin's,Deprived,Education,732
E05014109,St Martin's,Deprived,Employment,720
E05014109,St Martin's,Deprived,Health,1207
E05014109,St Martin's,Deprived,Housing,970
E05014110,Stockwell East,Does not apply,Education,0
E05014110,Stockwell East,Does not apply,Employment,0
E05014110,Stockwell East,Does not apply,Health,0
E05014110,Stockwell East,Does not apply,Housing,0
E05014110,Stockwell East,Not Deprived,Education,4056
E05014110,Stockwell East,Not Deprived,Employment,4043
E05014110,Stockwell East,Not Deprived,Health,3494
E05014110,Stockwell East,Not Deprived,Housing,3730
E05014110,Stockwell East,Deprived,Education,656
E05014110,Stockwell East,Deprived,Employment,669
E05014110,Stockwell East,Deprived,Health,1218
E05014110,Stockwell East,Deprived,Housing,982
E05014111,Stockwell West & Larkhall,Does not apply,Education,0
E05014111,Stockwell West & Larkhall,Does not apply,Employment,0
E05014111,Stockwell West & Larkhall,Does not apply,Health,0
E05014111,Stockwell West & Larkhall,Does not apply,Housing,0
E05014111,Stockwell West & Larkhall,Not Deprived,Education,5736
E05014111,Stockwell West & Larkhall,Not Deprived,Employment,5764
E05014111,Stockwell West & Larkhall,Not Deprived,Health,5146
E05014111,Stockwell West & Larkhall,Not Deprived,Housing,5016
E05014111,Stockwell West & Larkhall,Deprived,Education,1126
E05014111,Stockwell West & Larkhall,Deprived,Employment,1098
E05014111,Stockwell West & Larkhall,Deprived,Health,1716
E05014111,Stockwell West & Larkhall,Deprived,Housing,1846
E05014112,Streatham Common & Vale,Does not apply,Education,0
E05014112,Streatham Common & Vale,Does not apply,Employment,0
E05014112,Streatham Common & Vale,Does not apply,Health,0
E05014112,Streatham Common & Vale,Does not apply,Housing,0
E05014112,Streatham Common & Vale,Not Deprived,Education,5508
E05014112,Streatham Common & Vale,Not Deprived,Employment,5715
E05014112,Streatham Common & Vale,Not Deprived,Health,4890
E05014112,Streatham Common & Vale,Not Deprived,Housing,5498
E05014112,Streatham Common & Vale,Deprived,Education,1124
E05014112,Streatham Common & Vale,Deprived,Employment,917
E05014112,Streatham Common & Vale,Deprived,Health,1742
