GLA area 2021,,,,,,,,,,,,,,
_Collision Id,Borough Name,Borough Number,Easting,Northing,_Casualty Id,_Casualty Class,Casualty Gender,Casualty Age (5 Year Bands),Casualty Age,_Casualty Count,_Casualty Severity,Pedestrian Location,Pedestrian Movement,Casualty Mode of Travel
1210287343,Greenwich,6,539096,178051,1,Driver/Rider,Male,30-34,33,1,Slight,Not Applicable,Not Applicable,Car
1210287345,Southwark,8,534320,179504,1,Driver/Rider,Male,15-19,19,1,Slight,Not Applicable,Not Applicable,Car
1210287345,Southwark,8,534320,179504,2,Passenger,Male,15-19,19,1,Serious,Not Applicable,Not Applicable,Car
1210287345,Southwark,8,534320,179504,3,Passenger,Male,15-19,19,1,Slight,Not Applicable,Not Applicable,Car
1210287345,Southwark,8,534320,179504,4,Passenger,Male,15-19,19,1,Slight,Not Applicable,Not Applicable,Car
1210287353,Southwark,8,534256,178812,1,Driver/Rider,Male,20-24,22,1,Slight,Not Applicable,Not Applicable,Powered 2 Wheeler
1210287355,Kensington & Chelsea,12,526248,177373,1,Driver/Rider,Female,55-59,58,1,Serious,Not Applicable,Not Applicable,Car
1210287358,Brent,28,524913,184282,1,Driver/Rider,Male,45-49,48,1,Slight,Not Applicable,Not Applicable,Powered 2 Wheeler
1210287361,Tower Hamlets,5,535414,182047,1,Driver/Rider,Female,25-29,28,1,Slight,Not Applicable,Not Applicable,Pedal Cycle
1210287366,Hammersmith & Fulham,11,524130,178765,1,Driver/Rider,Female,20-24,24,1,Slight,Not Applicable,Not Applicable,Pedal Cycle
1210287367,Havering,15,558238,188371,1,Driver/Rider,Male,25-29,26,1,Slight,Not Applicable,Not Applicable,Car
1210287370,Enfield,32,535262,195755,1,Pedestrian,Female,50-54,53,1,Slight,Crossing Road (Not On Xing),From Drivers O/Side,Pedestrian
1210287371,Hackney,4,532133,187476,1,Driver/Rider,Male,40-44,41,1,Serious,Not Applicable,Not Applicable,Powered 2 Wheeler
1210287372,Westminster,1,527892,183446,1,Driver/Rider,Male,20-24,24,1,Slight,Not Applicable,Not Applicable,Pedal Cycle
1210287379,Tower Hamlets,5,534516,182332,1,Driver/Rider,Male,25-29,26,1,Slight,Not Applicable,Not Applicable,Powered 2 Wheeler
1210287380,Brent,28,524535,184361,1,Driver/Rider,Male,25-29,26,1,Slight,Not Applicable,Not Applicable,Pedal Cycle
1210287384,Hackney,4,533558,183058,1,Driver/Rider,Male,45-49,48,1,Slight,Not Applicable,Not Applicable,Private Hire
1210287385,Redbridge,14,540432,190232,1,Passenger,Female,Unknown,,1,Slight,Not Applicable,Not Applicable,Car
1210287400,Ealing,27,514846,184214,1,Pedestrian,Female,50-54,52,1,Serious,Crossing Road Within 50m Xing,From Drivers O/Side,Pedestrian
1210287404,Islington,3,530903,186011,1,Driver/Rider,Male,25-29,25,1,Slight,Not Applicable,Not Applicable,Powered 2 Wheeler
1210287405,Hounslow,25,512440,176942,1,Driver/Rider,Male,25-29,28,1,Slight,Not Applicable,Not Applicable,Goods Vehicle
1210287405,Hounslow,25,512440,176942,2,Passenger,Male,35-39,38,1,Slight,Not Applicable,Not Applicable,Goods Vehicle
1210287407,Lambeth,9,530565,176602,1,Driver/Rider,Male,45-49,46,1,Serious,Not Applicable,Not Applicable,Pedal Cycle
1210287413,Croydon,20,531424,166321,1,Driver/Rider,Male,40-44,42,1,Slight,Not Applicable,Not Applicable,Car
1210287415,Haringey,31,533678,189001,1,Driver/Rider,Male,20-24,22,1,Slight,Not Applicable,Not Applicable,Car
1210287420,Ealing,27,520537,181631,1,Driver/Rider,Male,25-29,28,1,Slight,Not Applicable,Not Applicable,Car
1210287424,Hackney,4,536348,184747,1,Driver/Rider,Male,30-34,33,1,Slight,Not Applicable,Not Applicable,Car
1210287425,Croydon,20,532533,164076,1,Driver/Rider,Male,45-49,46,1,Slight,Not Applicable,Not Applicable,Car
1210287427,Wandsworth,10,526346,175457,1,Driver/Rider,Male,20-24,20,1,Slight,Not Applicable,Not Applicable,Powered 2 Wheeler
1210287428,Newham,17,542649,183434,1,Passenger,Female,35-39,35,1,Slight,Not Applicable,Not Applicable,Car
1210287435,Lambeth,9,531323,177860,1,Driver/Rider,Male,55-59,58,1,Slight,Not Applicable,Not Applicable,Pedal Cycle
1210287440,Southwark,8,534901,178877,1,Driver/Rider,Male,40-44,41,1,Slight,Not Applicable,Not Applicable,Car
1210287443,Hounslow,25,521218,178778,1,Passenger,Male,75-79,78,1,Slight,Not Applicable,Not Applicable,Bus Or Coach
1210287449,Hackney,4,533484,182295,1,Driver/Rider,Male,35-39,36,1,Slight,Not Applicable,Not Applicable,Goods Vehicle
1210287449,Hackney,4,533484,182295,2,Driver/Rider,Male,35-39,35,1,Serious,Not Applicable,Not Applicable,Pedal Cycle
1210287457,Lewisham,7,535763,177959,1,Driver/Rider,Female,20-24,23,1,Slight,Not Applicable,Not Applicable,Powered 2 Wheeler
1210287458,Ealing,27,511300,182823,1,Driver/Rider,Male,30-34,30,1,Slight,Not Applicable,Not Applicable,Car
1210287458,Ealing,27,511300,182823,2,Driver/Rider,Female,50-54,50,1,Slight,Not Applicable,Not Applicable,Car
1210287459,Hammersmith & Fulham,11,525815,175839,1,Driver/Rider,Male,45-49,47,1,Slight,Not Applicable,Not Applicable,Powered 2 Wheeler
1210287466,Brent,28,525011,184152,1,Driver/Rider,Male,15-19,19,1,Slight,Not Applicable,Not Applicable,Pedal Cycle
1210287467,Barnet,30,525364,190493,1,Driver/Rider,Female,35-39,38,1,Slight,Not Applicable,Not Applicable,Car
1210287471,Merton,22,528210,168229,1,Driver/Rider,Male,15-19,19,1,Slight,Not Applicable,Not Applicable,Other Vehicle
1210287481,Haringey,31,528461,188184,1,Driver/Rider,Female,25-29,29,1,Slight,Not Applicable,Not Applicable,Pedal Cycle
1210287488,Havering,15,556266,189022,1,Driver/Rider,Female,60-64,62,1,Serious,Not Applicable,Not Applicable,Car
1210287491,Havering,15,551885,188348,1,Driver/Rider,Male,20-24,20,1,Slight,Not Applicable,Not Applicable,Powered 2 Wheeler
1210287497,Tower Hamlets,5,534457,181868,1,Pedestrian,Male,30-34,33,1,Slight,Crossing Road On Ped Xing,Unknown Or Other,Pedestrian
1210287499,Enfield,32,531125,197902,1,Driver/Rider,Male,65-69,69,1,Serious,Not Applicable,Not Applicable,Powered 2 Wheeler
1210287504,Lewisham,7,536483,177025,1,Pedestrian,Female,15-19,16,1,Slight,Crossing Road On Ped Xing,From Drivers N/Side,Pedestrian
1210287507,Hackney,4,532711,186250,1,Driver/Rider,Male,25-29,25,1,Slight,Not Applicable,Not Applicable,Pedal Cycle
1210287509,Lewisham,7,535615,176806,1,Driver/Rider,Male,25-29,29,1,Slight,Not Applicable,Not Applicable,Car
1210287509,Lewisham,7,535615,176806,2,Passenger,Female,Unknown,,1,Slight,Not Applicable,Not Applicable,Car
1210287511,Newham,17,543461,182481,1,Driver/Rider,Male,50-54,50,1,Slight,Not Applicable,Not Applicable,Private Hire
1210287512,Kensington & Chelsea,12,526093,178892,1,Driver/Rider,Female,20-24,22,1,Slight,Not Applicable,Not Applicable,Powered 2 Wheeler
1210287514,Brent,28,517498,188935,1,Driver/Rider,Male,20-24,20,1,Serious,Not Applicable,Not Applicable,Powered 2 Wheeler
1210287516,Hammersmith & Fulham,11,522358,180082,1,Driver/Rider,Male,25-29,25,1,Slight,Not Applicable,Not Applicable,Pedal Cycle
1210287516,Hammersmith & Fulham,11,522358,180082,2,Driver/Rider,Male,20-24,23,1,Serious,Not Applicable,Not Applicable,Powered 2 Wheeler
1210287517,Bromley,19,540656,171052,1,Pedestrian,Female,40-44,44,1,Serious,Crossing Road (Not On Xing),From Drivers N/Side,Pedestrian
1210287518,Tower Hamlets,5,536950,181053,1,Driver/Rider,Male,30-34,34,1,Slight,Not Applicable,Not Applicable,Car
1210287525,Bexley,18,549988,176450,1,Pedestrian,Female,30-34,30,1,Serious,Crossing Road On Ped Xing,From Drivers O/Side,Pedestrian
1210287527,Bromley,19,545997,165882,1,Driver/Rider,Female,25-29,28,1,Slight,Not Applicable,Not Applicable,Car
1210287529,Haringey,31,533768,189522,1,Driver/Rider,Male,20-24,22,1,Slight,Not Applicable,Not Applicable,Powered 2 Wheeler
1210287530,Islington,3,530540,185750,1,Driver/Rider,Male,30-34,33,1,Slight,Not Applicable,Not Applicable,Pedal Cycle
1210287531,Hackney,4,534459,187243,1,Pedestrian,Male,40-44,42,1,Slight,Crossing Road On Ped Xing,From Drivers N/Side,Pedestrian
1210287534,Lambeth,9,530469,173440,1,Driver/Rider,Male,45-49,48,1,Slight,Not Applicable,Not Applicable,Powered 2 Wheeler
1210287538,Lambeth,9,529233,176166,1,Driver/Rider,Male,20-24,20,1,Serious,Not Applicable,Not Applicable,Powered 2 Wheeler
1210287538,Lambeth,9,529233,176166,2,Passenger,Male,15-19,19,1,Serious,Not Applicable,Not Applicable,Powered 2 Wheeler
1210287540,Croydon,20,531854,165431,1,Driver/Rider,Male,30-34,34,1,Slight,Not Applicable,Not Applicable,Other Vehicle
1210287542,Brent,28,519547,183923,1,Pedestrian,Female,50-54,51,1,Serious,In Centre Of Carriageway,Unknown Or Other,Pedestrian
1210287546,Hackney,4,532821,183155,1,Driver/Rider,Male,50-54,54,1,Serious,Not Applicable,Not Applicable,Powered 2 Wheeler
1210287547,Hammersmith & Fulham,11,524332,178347,1,Pedestrian,Male,30-34,34,1,Slight,In Road - Not Crossing,In Rd Not Crossing,Pedestrian
1210287554,Camden,2,528313,184336,1,Driver/Rider,Male,Unknown,,1,Slight,Not Applicable,Not Applicable,Powered 2 Wheeler
1210287555,Barnet,30,525061,186434,1,Driver/Rider,Male,55-59,55,1,Slight,Not Applicable,Not Applicable,Pedal Cycle
1210287569,Hillingdon,26,506725,180957,1,Driver/Rider,Female,40-44,44,1,Slight,Not Applicable,Not Applicable,Car
1210287574,Barking & Dagenham,16,548993,186696,1,Passenger,Female,65-69,67,1,Slight,Not Applicable,Not Applicable,Bus Or Coach
1210287577,Hounslow,25,512354,172352,1,Driver/Rider,Female,70-74,71,1,Serious,Not Applicable,Not Applicable,Car
1210287580,Waltham Forest,13,538022,186114,1,Driver/Rider,Female,50-54,53,1,Slight,Not Applicable,Not Applicable,Car
1210287582,Lewisham,7,535848,178622,1,Driver/Rider,Female,20-24,21,1,Slight,Not Applicable,Not Applicable,Pedal Cycle
1210287591,Tower Hamlets,5,535011,181285,1,Driver/Rider,Male,20-24,20,1,Slight,Not Applicable,Not Applicable,Pedal Cycle
1210287596,Enfield,32,534619,193806,1,Driver/Rider,Female,50-54,52,1,Slight,Not Applicable,Not Applicable,Car
1210287597,Wandsworth,10,527523,171586,1,Driver/Rider,Male,35-39,36,1,Slight,Not Applicable,Not Applicable,Powered 2 Wheeler
1210287598,Brent,28,522423,186949,1,Pedestrian,Male,45-49,45,1,Slight,Unknown Or Other,Unknown Or Other,Pedestrian
1210287600,Haringey,31,534403,191668,1,Driver/Rider,Female,40-44,41,1,Slight,Not Applicable,Not Applicable,Car
1210287601,Westminster,1,524666,182275,1,Pedestrian,Male,20-24,21,1,Slight,Crossing Road (Not On Xing),From Drivers O/Side,Pedestrian
1210287604,Greenwich,6,543517,174363,1,Driver/Rider,Female,20-24,21,1,Slight,Not Applicable,Not Applicable,Car
1210287607,Islington,3,533388,185150,1,Driver/Rider,Male,35-39,39,1,Slight,Not Applicable,Not Applicable,Powered 2 Wheeler
1210287609,Havering,15,557238,187173,1,Pedestrian,Female,85-89,88,1,Slight,Crossing Road (Not On Xing),From Drivers O/Side,Pedestrian
1210287612,Southwark,8,535331,179791,1,Pedestrian,Male,55-59,57,1,Slight,Crossing Road On Ped Xing,Unknown Or Other,Pedestrian
