time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,lad_code,lad_name,fsm,area_of_learning,number_of_pupils,at_least_expected_number,at_least_expected_percent
201819,Academic year,Local authority,E92000001,England,E12000002,North West,E06000049,Cheshire East,Total,Communication and Language,4067,3339,82
201819,Academic year,Local authority,E92000001,England,E12000002,North West,E06000049,Cheshire East,FSM,Communication and Language,321,207,64
201819,Academic year,Local authority,E92000001,England,E12000002,North West,E06000049,Cheshire East,All other pupils,Communication and Language,3746,3132,84
201819,Academic year,Local authority,E92000001,England,E12000002,North West,E06000050,Cheshire West and Chester,Total,Communication and Language,3857,3251,84
201819,Academic year,Local authority,E92000001,England,E12000002,North West,E06000050,Cheshire West and Chester,FSM,Communication and Language,421,295,70
201819,Academic year,Local authority,E92000001,England,E12000002,North West,E06000050,Cheshire West and Chester,All other pupils,Communication and Language,3436,2956,86
201819,Academic year,Local authority,E92000001,England,E12000002,North West,E10000006,Cumbria,Total,Communication and Language,4891,4029,82
201819,Academic year,Local authority,E92000001,England,E12000002,North West,E10000006,Cumbria,FSM,Communication and Language,449,300,67
201819,Academic year,Local authority,E92000001,England,E12000002,North West,E10000006,Cumbria,All other pupils,Communication and Language,4442,3729,84
201819,Academic year,Local authority,E92000001,England,E12000002,North West,E06000006,Halton,Total,Communication and Language,1456,1151,79
201819,Academic year,Local authority,E92000001,England,E12000002,North West,E06000006,Halton,FSM,Communication and Language,308,209,68
201819,Academic year,Local authority,E92000001,England,E12000002,North West,E06000006,Halton,All other pupils,Communication and Language,1148,942,82
201819,Academic year,Local authority,E92000001,England,E12000002,North West,E08000011,Knowsley,Total,Communication and Language,1804,1437,80
201819,Academic year,Local authority,E92000001,England,E12000002,North West,E08000011,Knowsley,FSM,Communication and Language,540,380,70
201819,Academic year,Local authority,E92000001,England,E12000002,North West,E08000011,Knowsley,All other pupils,Communication and Language,1264,1057,84
201819,Academic year,Local authority,E92000001,England,E12000002,North West,E10000017,Lancashire,Total,Communication and Language,13761,10943,80
201819,Academic year,Local authority,E92000001,England,E12000002,North West,E10000017,Lancashire,FSM,Communication and Language,1788,1185,66
201819,Academic year,Local authority,E92000001,England,E12000002,North West,E10000017,Lancashire,All other pupils,Communication and Language,11973,9758,82
201819,Academic year,Local authority,E92000001,England,E12000002,North West,E08000012,Liverpool,Total,Communication and Language,5427,4252,78
201819,Academic year,Local authority,E92000001,England,E12000002,North West,E08000012,Liverpool,FSM,Communication and Language,1035,712,69
201819,Academic year,Local authority,E92000001,England,E12000002,North West,E08000012,Liverpool,All other pupils,Communication and Language,4392,3540,81
201819,Academic year,Local authority,E92000001,England,E12000002,North West,E08000003,Manchester,Total,Communication and Language,7054,5310,75
201819,Academic year,Local authority,E92000001,England,E12000002,North West,E08000003,Manchester,FSM,Communication and Language,1842,1338,73
201819,Academic year,Local authority,E92000001,England,E12000002,North West,E08000003,Manchester,All other pupils,Communication and Language,5212,3972,76
201819,Academic year,Local authority,E92000001,England,E12000002,North West,E08000004,Oldham,Total,Communication and Language,3387,2626,78
201819,Academic year,Local authority,E92000001,England,E12000002,North West,E08000004,Oldham,FSM,Communication and Language,551,392,71
201819,Academic year,Local authority,E92000001,England,E12000002,North West,E08000004,Oldham,All other pupils,Communication and Language,2836,2234,79
201819,Academic year,Local authority,E92000001,England,E12000002,North West,E08000005,Rochdale,Total,Communication and Language,2988,2253,75
201819,Academic year,Local authority,E92000001,England,E12000002,North West,E08000005,Rochdale,FSM,Communication and Language,519,343,66
201819,Academic year,Local authority,E92000001,England,E12000002,North West,E08000005,Rochdale,All other pupils,Communication and Language,2469,1910,77
201819,Academic year,Local authority,E92000001,England,E12000002,North West,E08000006,Salford,Total,Communication and Language,3175,2477,78
201819,Academic year,Local authority,E92000001,England,E12000002,North West,E08000006,Salford,FSM,Communication and Language,673,485,72
201819,Academic year,Local authority,E92000001,England,E12000002,North West,E08000006,Salford,All other pupils,Communication and Language,2502,1992,80
201819,Academic year,Local authority,E92000001,England,E12000002,North West,E08000014,Sefton,Total,Communication and Language,3020,2379,79
201819,Academic year,Local authority,E92000001,England,E12000002,North West,E08000014,Sefton,FSM,Communication and Language,469,327,70
201819,Academic year,Local authority,E92000001,England,E12000002,North West,E08000014,Sefton,All other pupils,Communication and Language,2551,2052,80
201819,Academic year,Local authority,E92000001,England,E12000002,North West,E08000013,St. Helens,Total,Communication and Language,2051,1634,80
201819,Academic year,Local authority,E92000001,England,E12000002,North West,E08000013,St. Helens,FSM,Communication and Language,295,185,63
201819,Academic year,Local authority,E92000001,England,E12000002,North West,E08000013,St. Helens,All other pupils,Communication and Language,1756,1449,83
201819,Academic year,Local authority,E92000001,England,E12000002,North West,E08000007,Stockport,Total,Communication and Language,3614,2918,81
201819,Academic year,Local authority,E92000001,England,E12000002,North West,E08000007,Stockport,FSM,Communication and Language,378,239,63
201819,Academic year,Local authority,E92000001,England,E12000002,North West,E08000007,Stockport,All other pupils,Communication and Language,3236,2679,83
201819,Academic year,Local authority,E92000001,England,E12000002,North West,E08000008,Tameside,Total,Communication and Language,2902,2262,78
201819,Academic year,Local authority,E92000001,England,E12000002,North West,E08000008,Tameside,FSM,Communication and Language,546,358,66
201819,Academic year,Local authority,E92000001,England,E12000002,North West,E08000008,Tameside,All other pupils,Communication and Language,2356,1904,81
201819,Academic year,Local authority,E92000001,England,E12000002,North West,E08000009,Trafford,Total,Communication and Language,2973,2542,86
201819,Academic year,Local authority,E92000001,England,E12000002,North West,E08000009,Trafford,FSM,Communication and Language,184,135,73
201819,Academic year,Local authority,E92000001,England,E12000002,North West,E08000009,Trafford,All other pupils,Communication and Language,2789,2407,86
201819,Academic year,Local authority,E92000001,England,E12000002,North West,E06000007,Warrington,Total,Communication and Language,2432,1986,82
201819,Academic year,Local authority,E92000001,England,E12000002,North West,E06000007,Warrington,FSM,Communication and Language,316,230,73
201819,Academic year,Local authority,E92000001,England,E12000002,North West,E06000007,Warrington,All other pupils,Communication and Language,2116,1756,83
201819,Academic year,Local authority,E92000001,England,E12000002,North West,E08000010,Wigan,Total,Communication and Language,3645,2783,76
201819,Academic year,Local authority,E92000001,England,E12000002,North West,E08000010,Wigan,FSM,Communication and Language,579,354,61
201819,Academic year,Local authority,E92000001,England,E12000002,North West,E08000010,Wigan,All other pupils,Communication and Language,3066,2429,79
201819,Academic year,Local authority,E92000001,England,E12000002,North West,E08000015,Wirral,Total,Communication and Language,3670,2858,78
201819,Academic year,Local authority,E92000001,England,E12000002,North West,E08000015,Wirral,FSM,Communication and Language,646,402,62
201819,Academic year,Local authority,E92000001,England,E12000002,North West,E08000015,Wirral,All other pupils,Communication and Language,3024,2456,81
201819,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and the Humber,E08000016,Barnsley,Total,Communication and Language,2752,2228,81
201819,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and the Humber,E08000016,Barnsley,FSM,Communication and Language,531,379,71
201819,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and the Humber,E08000016,Barnsley,All other pupils,Communication and Language,2221,1849,83
201819,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and the Humber,E08000032,Bradford,Total,Communication and Language,7668,6243,81
201819,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and the Humber,E08000032,Bradford,FSM,Communication and Language,1200,900,75
201819,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and the Humber,E08000032,Bradford,All other pupils,Communication and Language,6468,5343,83
201819,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and the Humber,E08000033,Calderdale,Total,Communication and Language,2675,2237,84
201819,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and the Humber,E08000033,Calderdale,FSM,Communication and Language,400,288,72
201819,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and the Humber,E08000033,Calderdale,All other pupils,Communication and Language,2275,1949,86
201819,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and the Humber,E08000017,Doncaster,Total,Communication and Language,3541,2969,84
201819,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and the Humber,E08000017,Doncaster,FSM,Communication and Language,583,433,74
201819,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and the Humber,E08000017,Doncaster,All other pupils,Communication and Language,2958,2536,86
201819,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and the Humber,E06000011,East Riding of Yorkshire,Total,Communication and Language,3348,2818,84
201819,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and the Humber,E06000011,East Riding of Yorkshire,FSM,Communication and Language,395,266,67
201819,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and the Humber,E06000011,East Riding of Yorkshire,All other pupils,Communication and Language,2953,2552,86
201819,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and the Humber,E06000010,Kingston Upon Hull City of,Total,Communication and Language,3286,2506,76
201819,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and the Humber,E06000010,Kingston Upon Hull City of,FSM,Communication and Language,716,501,70
201819,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and the Humber,E06000010,Kingston Upon Hull City of,All other pupils,Communication and Language,2570,2005,78
201819,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and the Humber,E08000034,Kirklees,Total,Communication and Language,5277,4249,81
201819,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and the Humber,E08000034,Kirklees,FSM,Communication and Language,730,509,70
201819,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and the Humber,E08000034,Kirklees,All other pupils,Communication and Language,4547,3740,82
201819,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and the Humber,E08000035,Leeds,Total,Communication and Language,9784,7933,81
201819,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and the Humber,E08000035,Leeds,FSM,Communication and Language,1879,1318,70
201819,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and the Humber,E08000035,Leeds,All other pupils,Communication and Language,7905,6615,84
201819,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and the Humber,E06000012,North East Lincolnshire,Total,Communication and Language,1897,1513,80
201819,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and the Humber,E06000012,North East Lincolnshire,FSM,Communication and Language,372,262,70
201819,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and the Humber,E06000012,North East Lincolnshire,All other pupils,Communication and Language,1525,1251,82
201819,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and the Humber,E06000013,North Lincolnshire,Total,Communication and Language,1836,1501,82
