time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,lad_code,lad_name,all_pupils,elg_number,elg_percent,gld_number,gld_percent,point_score,average_point_score
201718,Academic year,Local authority district,E92000001,England,E12000009,South West,E06000054,Wiltshire UA,5424,3863,71,3912,72,187915,34.6
201718,Academic year,Local authority district,E92000001,England,E12000009,South West,E07000040,East Devon,1366,968,71,975,71,47934,35.1
201718,Academic year,Local authority district,E92000001,England,E12000009,South West,E07000041,Exeter,1118,741,66,770,69,37912,33.9
201718,Academic year,Local authority district,E92000001,England,E12000009,South West,E07000042,Mid Devon,861,600,70,621,72,29289,34
201718,Academic year,Local authority district,E92000001,England,E12000009,South West,E07000043,North Devon,1003,730,73,735,73,34912,34.8
201718,Academic year,Local authority district,E92000001,England,E12000009,South West,E07000044,South Hams,758,569,75,572,75,26558,35
201718,Academic year,Local authority district,E92000001,England,E12000009,South West,E07000045,Teignbridge,1355,976,72,981,72,47283,34.9
201718,Academic year,Local authority district,E92000001,England,E12000009,South West,E07000046,Torridge,696,465,67,468,67,23381,33.6
201718,Academic year,Local authority district,E92000001,England,E12000009,South West,E07000047,West Devon,511,356,70,365,71,17761,34.8
201718,Academic year,Local authority district,E92000001,England,E12000009,South West,E07000048,Christchurch,492,323,66,327,66,17311,35.2
201718,Academic year,Local authority district,E92000001,England,E12000009,South West,E07000049,East Dorset,808,598,74,605,75,29124,36
201718,Academic year,Local authority district,E92000001,England,E12000009,South West,E07000050,North Dorset,731,531,73,538,74,25768,35.3
201718,Academic year,Local authority district,E92000001,England,E12000009,South West,E07000051,Purbeck,456,293,64,298,65,15711,34.5
201718,Academic year,Local authority district,E92000001,England,E12000009,South West,E07000052,West Dorset,901,620,69,622,69,31580,35
201718,Academic year,Local authority district,E92000001,England,E12000009,South West,E07000053,Weymouth and Portland,665,449,68,450,68,23371,35.1
201718,Academic year,Local authority district,E92000001,England,E12000009,South West,E07000078,Cheltenham,1233,859,70,861,70,43574,35.3
201718,Academic year,Local authority district,E92000001,England,E12000009,South West,E07000079,Cotswold,786,558,71,574,73,28343,36.1
201718,Academic year,Local authority district,E92000001,England,E12000009,South West,E07000080,Forest of Dean,854,566,66,572,67,30027,35.2
201718,Academic year,Local authority district,E92000001,England,E12000009,South West,E07000081,Gloucester,1705,1108,65,1139,67,59196,34.7
201718,Academic year,Local authority district,E92000001,England,E12000009,South West,E07000082,Stroud,1190,838,70,850,71,42306,35.6
201718,Academic year,Local authority district,E92000001,England,E12000009,South West,E07000083,Tewkesbury,1070,738,69,742,69,38030,35.5
201718,Academic year,Local authority district,E92000001,England,E12000009,South West,E07000187,Mendip,1120,795,71,806,72,39310,35.1
201718,Academic year,Local authority district,E92000001,England,E12000009,South West,E07000188,Sedgemoor,1356,945,70,954,70,46533,34.3
201718,Academic year,Local authority district,E92000001,England,E12000009,South West,E07000189,South Somerset,1815,1314,72,1328,73,63087,34.8
201718,Academic year,Local authority district,E92000001,England,E12000009,South West,E07000190,Taunton Deane,1220,873,72,878,72,42300,34.7
201718,Academic year,Local authority district,E92000001,England,E12000009,South West,E07000191,West Somerset,271,176,65,185,68,9412,34.7
